job_title,company_name,location,salary,job_type,experience_required,education_required,skills_required,job_description,posted_date,source
Lead Software Engineer,Microsoft Morocco,El Jadida,13600 MAD/month,Full-time,5+ years,Bachelor's Degree,"Agile, Java, Design Patterns, JavaScript",Great opportunity for career growth as a Lead Software Engineer.,2025-12-23,Generated
Lead Chemical Engineer,Royal Air Maroc,Agadir,15400 MAD/month,Full-time,8+ years,Master's Degree,"Plant Design, Process Simulation, Troubleshooting, Safety Management, Quality Control, Materials Science",Seeking an experienced Lead Chemical Engineer for innovative projects.,2025-12-30,Generated
Staff Business Development Manager,PwC Morocco,Oujda,19300 MAD/month,Contract,10+ years,Master's Degree,"Communication, Sales Strategy, Lead Generation, CRM",Join our dynamic team as a Staff Business Development Manager.,2025-11-01,Generated
Senior System Administrator,AXA Morocco,Marrakech,26300 MAD/month,Contract,5-8 years,Master's Degree,"Security, PowerShell, Monitoring, Active Directory",Great opportunity for career growth as a Senior System Administrator.,2025-12-18,Generated
Civil Engineer,ABB Morocco,Tangier,23000 MAD/month,Full-time,2-5 years,Master's Degree,"Project Management, Building Codes, AutoCAD, Surveying, Civil 3D, Revit",Join our dynamic team as a Civil Engineer.,2025-10-31,Generated
Staff DevOps Engineer,Atlanta Assurances,Casablanca,90500 MAD/month,Contract,10+ years,Bachelor's Degree,"Kubernetes, CI/CD, Python, Git",Great opportunity for career growth as a Staff DevOps Engineer.,2025-12-11,Generated
Staff UX/UI Designer,Renault Morocco,Agadir,20100 MAD/month,Part-time,8+ years,Bachelor's Degree,"UI Design, Usability Testing, Responsive Design, Prototyping, User Research, UX Design",Seeking an experienced Staff UX/UI Designer for innovative projects.,2025-12-21,Generated
Senior UX/UI Designer,Yazaki Morocco,Safi,21500 MAD/month,Full-time,5+ years,Bachelor's Degree,"Figma, Wireframing, Prototyping, Design Thinking, UX Design, UI Design",Seeking an experienced Senior UX/UI Designer for innovative projects.,2025-12-25,Generated
Civil Engineer,ANP Morocco,Meknes,15300 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Cost Estimation, AutoCAD, Project Management, Revit, Structural Design",Seeking an experienced Civil Engineer for innovative projects.,2025-11-25,Generated
Staff IT Support Specialist,Société Générale Morocco,Oujda,29600 MAD/month,Full-time,10+ years,Master's Degree,"Remote Support, Technical Support, Troubleshooting, Windows",Exciting opportunity for a Staff IT Support Specialist in Oujda.,2025-12-29,Generated
DevOps Engineer,Wavestone Morocco,Mohammedia,14600 MAD/month,Internship,3-5 years,Bachelor's Degree,"Terraform, Python, CI/CD, Linux, Ansible",Exciting opportunity for a DevOps Engineer in Mohammedia.,2025-12-21,Generated
Project Manager,IBM Morocco,Safi,27900 MAD/month,Full-time,8+ years,Master's Degree,"PMP, Project Management, Leadership, Communication, Budgeting, Agile",Exciting opportunity for a Project Manager in Safi.,2025-11-17,Generated
Sales Engineer,Renault Morocco,Fes,10900 MAD/month,Internship,3-5 years,Master's Degree,"Technical Sales, Presentations, CRM, Product Knowledge",We are looking for a talented Sales Engineer to join our growing team.,2025-11-24,Generated
Cloud Engineer,CASA Transport,El Jadida,32300 MAD/month,Contract,3-5 years,Bachelor's Degree,"Azure, GCP, AWS, Docker",Exciting opportunity for a Cloud Engineer in El Jadida.,2025-12-12,Generated
Lead Security Engineer,Nexans Morocco,Safi,27300 MAD/month,Contract,8+ years,Master's Degree,"Linux, Penetration Testing, Cybersecurity, Incident Response, Firewall, Encryption",Great opportunity for career growth as a Lead Security Engineer.,2025-11-16,Generated
Maintenance Technician,CIH Bank,Khouribga,8400 MAD/month,Contract,2-5 years,Bachelor's Degree,"Electrical Systems, Hydraulics, Equipment Repair, Troubleshooting, Technical Documentation, Safety Procedures",We are looking for a talented Maintenance Technician to join our growing team.,2025-11-26,Generated
Lead HR Manager,OCP Group,Marrakech,8500 MAD/month,Internship,5+ years,Master's Degree,"Labor Law, Conflict Resolution, Recruitment, Employee Relations, Communication",Join our dynamic team as a Lead HR Manager.,2025-12-17,Generated
Aerospace Engineer,Bank Al-Maghrib,Meknes,20100 MAD/month,Full-time,2-5 years,Master's Degree,"Structural Analysis, MATLAB, CATIA, Aerodynamics, SolidWorks",Exciting opportunity for a Aerospace Engineer in Meknes.,2025-10-31,Generated
Project Manager,Société Générale Morocco,Tangier,27000 MAD/month,Contract,8+ years,Bachelor's Degree,"Agile, PMP, Scrum, Risk Management, Budgeting, Communication",Exciting opportunity for a Project Manager in Tangier.,2025-11-23,Generated
Help Desk Analyst,ONCF,Oujda,12900 MAD/month,Contract,2-5 years,Master's Degree,"Customer Service, Documentation, Windows, Active Directory, Remote Support",We are looking for a talented Help Desk Analyst to join our growing team.,2025-12-30,Generated
Operations Manager,ONCF,Casablanca,24200 MAD/month,Full-time,5-8 years,Master's Degree,"Team Management, KPI Management, Process Optimization, Budgeting",Exciting opportunity for a Operations Manager in Casablanca.,2025-11-02,Generated
Senior UX/UI Designer,BCG Morocco,Mohammedia,28900 MAD/month,Full-time,5-8 years,Master's Degree,"User Research, Wireframing, Adobe XD, Prototyping, Usability Testing",We are looking for a talented Senior UX/UI Designer to join our growing team.,2025-11-11,Generated
Technical Manager,Capgemini Morocco,Meknes,22700 MAD/month,Full-time,8+ years,Master's Degree,"Leadership, Team Management, Agile, Technical Strategy",Seeking an experienced Technical Manager for innovative projects.,2025-11-02,Generated
Chemical Engineer,Siemens Morocco,Oujda,23100 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Troubleshooting, Process Simulation, Quality Control, Safety Management, Plant Design",We are looking for a talented Chemical Engineer to join our growing team.,2025-11-18,Generated
Scrum Master,Attijariwafa Bank,Rabat,26700 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Facilitation, Scrum, JIRA, Agile",Seeking an experienced Scrum Master for innovative projects.,2025-11-09,Generated
Senior IT Support Specialist,CIH Bank,Tetouan,23700 MAD/month,Full-time,8+ years,Bachelor's Degree,"Windows, Documentation, Hardware, Customer Service, Technical Support, Active Directory",Seeking an experienced Senior IT Support Specialist for innovative projects.,2025-11-10,Generated
Scrum Master,EY Morocco,Agadir,20800 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Sprint Planning, Agile, Coaching, Team Leadership, Retrospectives, Stakeholder Management",We are looking for a talented Scrum Master to join our growing team.,2025-12-17,Generated
Lead System Administrator,Concentrix Morocco,Agadir,8600 MAD/month,Part-time,8+ years,Bachelor's Degree,"Security, Active Directory, PowerShell, Windows Server, Bash",Join our dynamic team as a Lead System Administrator.,2025-12-13,Generated
Lead Cloud Engineer,Capgemini Morocco,Oujda,7400 MAD/month,Internship,5-8 years,Master's Degree,"Cloud Security, Networking, AWS, GCP, Terraform",Join our dynamic team as a Lead Cloud Engineer.,2025-11-25,Generated
Electrical Engineer,IBM Morocco,Mohammedia,23400 MAD/month,Full-time,2-5 years,Bachelor's Degree,"PLC, Circuit Design, Industrial Automation, Troubleshooting",Great opportunity for career growth as a Electrical Engineer.,2025-12-28,Generated
Staff Cloud Engineer,Amendis,Safi,46600 MAD/month,Full-time,8+ years,Bachelor's Degree,"Linux, GCP, Kubernetes, Cloud Security, Azure, Docker",Seeking an experienced Staff Cloud Engineer for innovative projects.,2025-11-01,Generated
IT Support Specialist,Sqli Morocco,Meknes,12200 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Ticketing Systems, Windows, Technical Support, Remote Support, Active Directory, Hardware",We are looking for a talented IT Support Specialist to join our growing team.,2025-11-24,Generated
QA Engineer,AXA Morocco,Safi,16900 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Regression Testing, Test Automation, Test Planning, Selenium, JIRA",Great opportunity for career growth as a QA Engineer.,2025-11-30,Generated
Principal Data Analyst,HP Morocco,Agadir,9100 MAD/month,Internship,8+ years,Bachelor's Degree,"Power BI, Python, Excel, Statistics",We are looking for a talented Principal Data Analyst to join our growing team.,2025-12-25,Generated
Principal DevOps Engineer,Deloitte Morocco,Oujda,72700 MAD/month,Full-time,8+ years,Bachelor's Degree,"Python, Git, AWS, Docker, Terraform, Kubernetes",Seeking an experienced Principal DevOps Engineer for innovative projects.,2025-11-05,Generated
Staff Sales Engineer,Nestlé Morocco,Khouribga,11800 MAD/month,Internship,8+ years,Master's Degree,"Presentations, CRM, Product Knowledge, Negotiation, Client Relationship",Great opportunity for career growth as a Staff Sales Engineer.,2025-10-31,Generated
Lead Cloud Engineer,Ericsson Morocco,Meknes,22800 MAD/month,Contract,8+ years,Master's Degree,"GCP, Networking, Python, Docker, Terraform",Great opportunity for career growth as a Lead Cloud Engineer.,2025-11-25,Generated
Mobile Developer,Majorel Morocco,Mohammedia,24500 MAD/month,Contract,2-5 years,Bachelor's Degree,"Git, React Native, Flutter, Mobile UI, iOS, Firebase",Great opportunity for career growth as a Mobile Developer.,2025-12-25,Generated
Operations Manager,Dell Technologies,Agadir,20800 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Continuous Improvement, Team Management, Budgeting, Operations Management, KPI Management",Exciting opportunity for a Operations Manager in Agadir.,2025-12-25,Generated
Chemical Engineer,CGI Morocco,Agadir,22200 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Safety Management, Chemical Processes, Process Engineering, Process Simulation, Troubleshooting",Join our dynamic team as a Chemical Engineer.,2025-11-07,Generated
Backend Developer,Zodiac Aerospace,Beni Mellal,29600 MAD/month,Contract,3-5 years,Bachelor's Degree,"Java, Redis, Microservices, Node.js, Git, PostgreSQL",Great opportunity for career growth as a Backend Developer.,2025-12-21,Generated
Lead Full Stack Developer,Atlanta Assurances,Marrakech,27900 MAD/month,Contract,8+ years,Master's Degree,"MongoDB, REST API, JavaScript, SQL",Great opportunity for career growth as a Lead Full Stack Developer.,2025-12-19,Generated
Full Stack Developer,Concentrix Morocco,Meknes,19600 MAD/month,Full-time,3-5 years,Bachelor's Degree,"SQL, Git, Agile, React, REST API, JavaScript",Great opportunity for career growth as a Full Stack Developer.,2025-12-24,Generated
Senior Security Engineer,IBM Morocco,Tangier,14000 MAD/month,Full-time,5+ years,Bachelor's Degree,"Penetration Testing, Security Audit, Linux, Encryption, Incident Response",Exciting opportunity for a Senior Security Engineer in Tangier.,2025-11-11,Generated
Senior Systems Engineer,ADM,Meknes,16500 MAD/month,Part-time,8+ years,Master's Degree,"Windows Server, Docker, Linux, Monitoring",Join our dynamic team as a Senior Systems Engineer.,2025-12-09,Generated
Staff Product Manager,Umanis Morocco,Casablanca,25800 MAD/month,Internship,8+ years,Bachelor's Degree,"Communication, Stakeholder Management, Roadmap Planning, Market Analysis, Prioritization",Seeking an experienced Staff Product Manager for innovative projects.,2025-11-07,Generated
Mechanical Engineer,Atlanta Assurances,Marrakech,17900 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Thermodynamics, CAD, Mechanical Design, AutoCAD",Exciting opportunity for a Mechanical Engineer in Marrakech.,2025-12-04,Generated
Cloud Engineer,BCG Morocco,Tetouan,28400 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Kubernetes, Linux, Docker, Azure",Great opportunity for career growth as a Cloud Engineer.,2025-12-18,Generated
Staff Software Engineer,Latecoere Morocco,Fes,56900 MAD/month,Full-time,5-8 years,Master's Degree,"Design Patterns, C++, Git, REST API",Seeking an experienced Staff Software Engineer for innovative projects.,2025-11-12,Generated
System Administrator,Afriquia,Casablanca,16000 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Bash, Networking, Linux, Windows Server, VMware",Seeking an experienced System Administrator for innovative projects.,2025-11-20,Generated
Staff UX/UI Designer,CASA Transport,Casablanca,26300 MAD/month,Internship,10+ years,Bachelor's Degree,"Prototyping, Adobe XD, UX Design, Wireframing",Exciting opportunity for a Staff UX/UI Designer in Casablanca.,2025-11-30,Generated
Recruiter,Bank Al-Maghrib,Safi,6000 MAD/month,Internship,2-5 years,Bachelor's Degree,"HR Policies, Communication, Employer Branding, LinkedIn, Negotiation",We are looking for a talented Recruiter to join our growing team.,2025-11-12,Generated
Staff System Administrator,BMCE Bank,Agadir,23000 MAD/month,Full-time,10+ years,Master's Degree,"Networking, Security, Backup, Monitoring, Bash, Windows Server",Great opportunity for career growth as a Staff System Administrator.,2025-11-15,Generated
Network Engineer,Oracle Morocco,Tetouan,10400 MAD/month,Part-time,3-5 years,Master's Degree,"Troubleshooting, Network Security, Routing, CCNA",Seeking an experienced Network Engineer for innovative projects.,2025-12-23,Generated
Automotive Engineer,ABB Morocco,Tetouan,9100 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Quality Control, Automotive Design, CATIA, Materials Science",Exciting opportunity for a Automotive Engineer in Tetouan.,2025-12-13,Generated
Staff Mobile Developer,Concentrix Morocco,Beni Mellal,58200 MAD/month,Full-time,10+ years,Bachelor's Degree,"Android, Mobile UI, Kotlin, Git, React Native",Great opportunity for career growth as a Staff Mobile Developer.,2025-12-12,Generated
Principal Electronics Technician,Siemens Morocco,Rabat,30300 MAD/month,Full-time,10+ years,Master's Degree,"Technical Documentation, Troubleshooting, Circuit Analysis, Embedded Systems, Soldering, Multimeter",We are looking for a talented Principal Electronics Technician to join our growing team.,2025-11-10,Generated
Systems Analyst,CIH Bank,Casablanca,10600 MAD/month,Internship,2-5 years,Bachelor's Degree,"Documentation, Agile, Technical Writing, Systems Design, SQL",Seeking an experienced Systems Analyst for innovative projects.,2025-11-26,Generated
Junior UX/UI Designer,Bank Al-Maghrib,Fes,4900 MAD/month,Internship,1-3 years,Master's Degree,"Usability Testing, User Research, UI Design, Wireframing",Join our dynamic team as a Junior UX/UI Designer.,2025-11-03,Generated
Junior Systems Analyst,TotalEnergies Morocco,Marrakech,10400 MAD/month,Full-time,0-1 years,Bachelor's Degree,"Requirements Analysis, UML, Technical Writing, SQL, Business Process Analysis",Seeking an experienced Junior Systems Analyst for innovative projects.,2025-11-29,Generated
Senior Mechanical Engineer,TotalEnergies Morocco,Rabat,20500 MAD/month,Internship,8+ years,Master's Degree,"SolidWorks, ANSYS, AutoCAD, Mechanical Design",Exciting opportunity for a Senior Mechanical Engineer in Rabat.,2025-11-13,Generated
Help Desk Analyst,Lesieur Cristal,Tangier,10300 MAD/month,Full-time,2-5 years,Master's Degree,"Remote Support, Ticketing Systems, Technical Support, Help Desk, Active Directory, Customer Service",We are looking for a talented Help Desk Analyst to join our growing team.,2025-11-23,Generated
Senior Project Manager,Capgemini Morocco,El Jadida,35500 MAD/month,Full-time,8+ years,Bachelor's Degree,"Budgeting, Communication, PMP, Project Management, Agile",Great opportunity for career growth as a Senior Project Manager.,2025-12-17,Generated
Chemical Engineer,Teleperformance Morocco,Mohammedia,22400 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Troubleshooting, Safety Management, Chemical Processes, Plant Design",Seeking an experienced Chemical Engineer for innovative projects.,2025-11-17,Generated
Maintenance Technician,Leoni Morocco,Casablanca,11300 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Mechanical Systems, Safety Procedures, Troubleshooting, Hydraulics, Technical Documentation, Preventive Maintenance",Great opportunity for career growth as a Maintenance Technician.,2025-12-16,Generated
Maintenance Technician,Huawei Morocco,Khouribga,3500 MAD/month,Internship,1-3 years,Bachelor's Degree,"Preventive Maintenance, Troubleshooting, Mechanical Systems, Hydraulics, Electrical Systems, Safety Procedures",Great opportunity for career growth as a Maintenance Technician.,2025-12-02,Generated
Lead Account Manager,Afriquia,Oujda,20800 MAD/month,Full-time,8+ years,Master's Degree,"Communication, Strategic Planning, Sales, CRM",Join our dynamic team as a Lead Account Manager.,2025-12-24,Generated
Electrical Engineer,Centrale Danone,El Jadida,18700 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Troubleshooting, PLC, Control Systems, Electrical Design",Great opportunity for career growth as a Electrical Engineer.,2025-11-19,Generated
Staff Scrum Master,Inwi,Safi,18900 MAD/month,Full-time,8+ years,Bachelor's Degree,"JIRA, Stakeholder Management, Conflict Resolution, Agile, Coaching, Team Leadership",Join our dynamic team as a Staff Scrum Master.,2025-12-29,Generated
Lead Security Engineer,Huawei Morocco,El Jadida,23300 MAD/month,Full-time,8+ years,Bachelor's Degree,"SIEM, Incident Response, Cybersecurity, Network Security, Linux",Great opportunity for career growth as a Lead Security Engineer.,2025-12-17,Generated
Data Engineer,Majorel Morocco,Kenitra,8700 MAD/month,Internship,2-4 years,Bachelor's Degree,"Airflow, PostgreSQL, ETL, Python, Hadoop, Spark",We are looking for a talented Data Engineer to join our growing team.,2025-12-13,Generated
Data Analyst,ABB Morocco,El Jadida,15000 MAD/month,Full-time,3-5 years,Bachelor's Degree,"SQL, Power BI, Excel, Statistics, Tableau, Pandas",Join our dynamic team as a Data Analyst.,2025-12-23,Generated
Staff Automotive Engineer,Renault Morocco,El Jadida,12500 MAD/month,Part-time,5-8 years,Master's Degree,"Supply Chain, Problem Solving, Project Management, CATIA, Manufacturing",We are looking for a talented Staff Automotive Engineer to join our growing team.,2025-11-20,Generated
Training Specialist,Siemens Morocco,Khouribga,13000 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Training & Development, Instructional Design, Curriculum Development, Presentation Skills",Join our dynamic team as a Training Specialist.,2025-11-30,Generated
Automotive Engineer,Lesieur Cristal,Meknes,10800 MAD/month,Part-time,2-5 years,Bachelor's Degree,"Supply Chain, Manufacturing, Testing, CATIA, Quality Control, Automotive Design",We are looking for a talented Automotive Engineer to join our growing team.,2025-12-07,Generated
Senior Test Engineer,Bombardier Aerospace,Mohammedia,18800 MAD/month,Part-time,5+ years,Master's Degree,"API Testing, JIRA, QA, Performance Testing",Exciting opportunity for a Senior Test Engineer in Mohammedia.,2025-12-14,Generated
Systems Analyst,Siemens Morocco,El Jadida,12500 MAD/month,Contract,2-4 years,Bachelor's Degree,"Business Process Analysis, Agile, UML, Systems Design, SQL, Requirements Analysis",Seeking an experienced Systems Analyst for innovative projects.,2025-12-02,Generated
Recruiter,Fujikura Morocco,Casablanca,13400 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Interviewing, Employer Branding, Recruitment, LinkedIn, HR Policies",Seeking an experienced Recruiter for innovative projects.,2025-12-28,Generated
Lead Business Development Manager,Société Générale Morocco,Marrakech,24300 MAD/month,Full-time,5+ years,Master's Degree,"Networking, Communication, Market Analysis, Contract Management",We are looking for a talented Lead Business Development Manager to join our growing team.,2025-12-05,Generated
HR Manager,Attijariwafa Bank,Rabat,44100 MAD/month,Full-time,10+ years,Master's Degree,"Labor Law, Employee Relations, Conflict Resolution, Training & Development, Recruitment, Communication",Join our dynamic team as a HR Manager.,2025-11-29,Generated
Lead DevOps Engineer,LafargeHolcim Morocco,Oujda,23000 MAD/month,Contract,8+ years,Bachelor's Degree,"Ansible, Python, AWS, Linux, Docker",Exciting opportunity for a Lead DevOps Engineer in Oujda.,2025-11-17,Generated
Staff Chemical Engineer,Concentrix Morocco,Tetouan,19700 MAD/month,Full-time,10+ years,Bachelor's Degree,"Chemical Processes, Materials Science, Quality Control, Safety Management, Process Simulation",Seeking an experienced Staff Chemical Engineer for innovative projects.,2025-11-30,Generated
Staff System Administrator,ONEE,Tangier,18200 MAD/month,Contract,5-8 years,Bachelor's Degree,"PowerShell, Windows Server, Backup, Monitoring",Join our dynamic team as a Staff System Administrator.,2025-12-01,Generated
Senior Aerospace Engineer,Niji Morocco,Casablanca,26600 MAD/month,Internship,5+ years,Master's Degree,"SolidWorks, CATIA, Systems Engineering, Structural Analysis, Aerodynamics, Testing",Join our dynamic team as a Senior Aerospace Engineer.,2025-11-25,Generated
IT Technician,BNP Paribas Morocco,Casablanca,11500 MAD/month,Full-time,2-5 years,Diploma,"Hardware, Installation, Active Directory, Troubleshooting, Network Support, Technical Support",Great opportunity for career growth as a IT Technician.,2025-12-24,Generated
Backend Developer,Majorel Morocco,El Jadida,17000 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Node.js, REST API, Redis, Python, Java",Exciting opportunity for a Backend Developer in El Jadida.,2025-12-11,Generated
Product Manager,Continental Morocco,El Jadida,27000 MAD/month,Full-time,5+ years,Master's Degree,"Market Analysis, Roadmap Planning, Analytics, Product Strategy, User Research",We are looking for a talented Product Manager to join our growing team.,2025-11-20,Generated
Electronics Technician,Label'Vie,Mohammedia,11800 MAD/month,Contract,2-5 years,Diploma,"Multimeter, Circuit Analysis, Electronics, Repair, Troubleshooting",Exciting opportunity for a Electronics Technician in Mohammedia.,2025-12-13,Generated
Junior Product Designer,Wavestone Morocco,Casablanca,4900 MAD/month,Internship,1-3 years,Bachelor's Degree,"Design Systems, Interaction Design, Wireframing, Figma, UX Design, User Research",We are looking for a talented Junior Product Designer to join our growing team.,2025-11-05,Generated
Junior Account Manager,OCP Group,Khouribga,10400 MAD/month,Full-time,1-3 years,Bachelor's Degree,"Problem Solving, CRM, Sales, Communication, Negotiation",Join our dynamic team as a Junior Account Manager.,2025-11-26,Generated
Senior Web Developer,Yazaki Morocco,Marrakech,23100 MAD/month,Full-time,5-8 years,Bachelor's Degree,"jQuery, JavaScript, MySQL, Bootstrap",Join our dynamic team as a Senior Web Developer.,2025-11-04,Generated
Lead Data Scientist,CDG Capital,Tangier,23500 MAD/month,Full-time,5-8 years,PhD,"Machine Learning, SQL, Python, R, Pandas, NumPy",Exciting opportunity for a Lead Data Scientist in Tangier.,2025-12-23,Generated
Product Manager,Inwi,Khouribga,18300 MAD/month,Part-time,8+ years,Bachelor's Degree,"A/B Testing, Stakeholder Management, Product Strategy, Roadmap Planning, User Research",Great opportunity for career growth as a Product Manager.,2025-11-17,Generated
Sales Engineer,TotalEnergies Morocco,Rabat,23000 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Client Relationship, Technical Sales, Negotiation, Product Knowledge",We are looking for a talented Sales Engineer to join our growing team.,2025-12-08,Generated
Data Scientist,Wavestone Morocco,Oujda,13100 MAD/month,Internship,2-4 years,PhD,"Python, Statistics, Pandas, TensorFlow, R",Seeking an experienced Data Scientist for innovative projects.,2025-12-15,Generated
Data Analyst,OCP Group,Safi,14400 MAD/month,Contract,2-5 years,Bachelor's Degree,"R, Data Visualization, Power BI, Statistics, Tableau",Exciting opportunity for a Data Analyst in Safi.,2025-12-03,Generated
Principal Electronics Technician,Maroc Telecom,Oujda,13900 MAD/month,Part-time,8+ years,Master's Degree,"Troubleshooting, Testing, Circuit Analysis, Technical Documentation, Embedded Systems, Repair",Exciting opportunity for a Principal Electronics Technician in Oujda.,2025-12-15,Generated
Staff Compliance Officer,PSA Morocco,Safi,12500 MAD/month,Full-time,10+ years,Bachelor's Degree,"Policy Development, Regulatory Requirements, Ethics, Auditing",Great opportunity for career growth as a Staff Compliance Officer.,2025-12-15,Generated
Principal Automotive Engineer,Teleperformance Morocco,Oujda,17900 MAD/month,Full-time,5-8 years,Master's Degree,"Project Management, Problem Solving, Materials Science, Quality Control",Exciting opportunity for a Principal Automotive Engineer in Oujda.,2025-11-09,Generated
Maintenance Technician,Aubay Morocco,Mohammedia,3700 MAD/month,Internship,1-3 years,Diploma,"Technical Documentation, Troubleshooting, Mechanical Systems, Safety Procedures, Hydraulics, Preventive Maintenance",Join our dynamic team as a Maintenance Technician.,2025-12-21,Generated
Network Engineer,SMIT,Rabat,18900 MAD/month,Contract,2-4 years,Bachelor's Degree,"Routing, Networking, Firewall, Switching, Troubleshooting, Network Security",Great opportunity for career growth as a Network Engineer.,2025-12-30,Generated
Senior Systems Analyst,Fujikura Morocco,Rabat,20100 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Systems Design, Documentation, SQL, Requirements Analysis, Agile, UML",Exciting opportunity for a Senior Systems Analyst in Rabat.,2025-11-16,Generated
Senior Mechanical Engineer,Crédit Agricole Morocco,Tangier,36000 MAD/month,Full-time,8+ years,Bachelor's Degree,"GD&T, Thermodynamics, Project Management, Manufacturing",We are looking for a talented Senior Mechanical Engineer to join our growing team.,2025-11-28,Generated
Help Desk Analyst,DHL Morocco,Casablanca,11000 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Troubleshooting, Remote Support, Customer Service, Documentation",We are looking for a talented Help Desk Analyst to join our growing team.,2025-12-18,Generated
Industrial Engineer,Leoni Morocco,Casablanca,18700 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Project Management, AutoCAD, Supply Chain, Lean Manufacturing, Cost Analysis, Production Planning",Join our dynamic team as a Industrial Engineer.,2025-12-09,Generated
Product Manager,SAHAM Assurance,Casablanca,34500 MAD/month,Full-time,8+ years,Master's Degree,"Product Strategy, Stakeholder Management, A/B Testing, User Research, Prioritization",Join our dynamic team as a Product Manager.,2025-11-18,Generated
QA Engineer,Collins Aerospace,El Jadida,18900 MAD/month,Full-time,2-4 years,Master's Degree,"API Testing, JIRA, QA Methodologies, Bug Tracking, Selenium, Test Planning",Exciting opportunity for a QA Engineer in El Jadida.,2025-12-15,Generated
Electrical Engineer,GE Aviation Morocco,Kenitra,7800 MAD/month,Internship,2-5 years,Bachelor's Degree,"Electrical Safety, Electrical Design, Circuit Design, PLC, Industrial Automation, Power Systems",We are looking for a talented Electrical Engineer to join our growing team.,2025-11-25,Generated
Lead Backend Developer,ONEE,Agadir,10400 MAD/month,Internship,5-8 years,Master's Degree,"Git, Redis, SQL, Node.js, Python, PostgreSQL",Join our dynamic team as a Lead Backend Developer.,2025-12-19,Generated
Chemical Engineer,ONDA,Mohammedia,24300 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Safety Management, Quality Control, Plant Design, Materials Science",Join our dynamic team as a Chemical Engineer.,2025-10-31,Generated
Staff Industrial Engineer,Collins Aerospace,Khouribga,12400 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Lean Manufacturing, Production Planning, Process Optimization, Cost Analysis, Supply Chain",Exciting opportunity for a Staff Industrial Engineer in Khouribga.,2025-11-07,Generated
Chemical Engineer,ZTE Morocco,Tetouan,21500 MAD/month,Full-time,2-4 years,Master's Degree,"Troubleshooting, Process Engineering, Chemical Processes, Process Simulation",Great opportunity for career growth as a Chemical Engineer.,2025-12-25,Generated
Junior Security Engineer,SAHAM Assurance,Tangier,27100 MAD/month,Contract,0-1 years,Master's Degree,"SIEM, Security Audit, Incident Response, Firewall",We are looking for a talented Junior Security Engineer to join our growing team.,2025-12-20,Generated
Staff Test Engineer,Deloitte Morocco,Fes,11200 MAD/month,Internship,5-8 years,Master's Degree,"API Testing, Agile, Test Cases, JIRA, Bug Tracking",We are looking for a talented Staff Test Engineer to join our growing team.,2025-12-25,Generated
Quality Engineer,IBM Morocco,Rabat,10200 MAD/month,Internship,3-5 years,Bachelor's Degree,"Six Sigma, Quality Management, Testing, Process Improvement, Documentation",Great opportunity for career growth as a Quality Engineer.,2025-11-11,Generated
Principal Software Engineer,Alten Morocco,Marrakech,77100 MAD/month,Full-time,5-8 years,Master's Degree,"Python, Agile, REST API, Design Patterns, JavaScript",Great opportunity for career growth as a Principal Software Engineer.,2025-12-30,Generated
Staff Quality Engineer,Microsoft Morocco,Meknes,21500 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Auditing, Six Sigma, Quality Management, Documentation",Join our dynamic team as a Staff Quality Engineer.,2025-11-01,Generated
Operations Manager,Lear Corporation,Tangier,21100 MAD/month,Contract,10+ years,Bachelor's Degree,"Leadership, Operations Management, Budgeting, KPI Management",We are looking for a talented Operations Manager to join our growing team.,2025-11-21,Generated
Staff Scrum Master,Lear Corporation,Fes,15100 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Team Leadership, Stakeholder Management, Conflict Resolution, Agile, Retrospectives, Facilitation",We are looking for a talented Staff Scrum Master to join our growing team.,2025-11-10,Generated
Aerospace Engineer,RMA Watanya,El Jadida,15500 MAD/month,Part-time,2-5 years,Master's Degree,"MATLAB, Aerodynamics, Manufacturing Processes, SolidWorks, Systems Engineering",Join our dynamic team as a Aerospace Engineer.,2025-11-10,Generated
